paymentId,bookingId,amount,paymentMethod,paymentDate,statusId
1,1,377.31,Crypto,2025-06-14 17:36:09.717520,18
2,2,143.24,PayPal,2025-07-16 08:36:09.717520,18
3,3,210.08,Credit Card,2025-01-01 13:36:09.717520,18
4,4,735.21,Crypto,2025-11-09 18:36:09.717520,18
5,5,754.43,Crypto,2025-09-29 09:36:09.717520,18
6,6,766.21,PayPal,2025-08-25 19:36:09.717520,18
7,7,52.59,Crypto,2025-04-01 14:36:09.717520,18
8,8,301.29,Bank Transfer,2025-12-01 09:36:09.717520,18
9,9,522.63,Credit Card,2025-09-20 06:36:09.717520,18
10,10,643.31,Bank Transfer,2025-07-20 00:36:09.717520,18
11,11,63.88,Crypto,2025-03-19 22:36:09.717520,18
12,12,371.02,Bank Transfer,2025-11-16 02:36:09.717520,18
13,13,672.8,Credit Card,2025-09-30 18:36:09.717520,18
14,14,193.18,Bank Transfer,2025-06-17 13:36:09.717520,18
15,15,712.28,Crypto,2025-04-22 23:36:09.717520,18
16,16,250.45,Bank Transfer,2025-11-26 12:36:09.717520,18
17,17,442.04,Crypto,2025-07-01 05:36:09.717520,18
18,18,611.42,Bank Transfer,2025-01-21 05:36:09.717520,18
19,19,499.06,Crypto,2025-04-28 09:36:09.717520,18
20,20,660.4,Bank Transfer,2025-06-16 16:36:09.717520,18
21,21,157.19,Bank Transfer,2024-12-20 17:36:09.717520,18
22,22,145.67,Bank Transfer,2025-10-08 13:36:09.717520,18
23,23,148.07,Credit Card,2025-05-20 11:36:09.717520,18
24,24,545.4,PayPal,2025-04-19 15:36:09.717520,18
25,25,220.98,Credit Card,2025-04-23 17:36:09.717520,18
26,26,377.7,Bank Transfer,2025-03-27 04:36:09.717520,18
27,27,754.29,Crypto,2025-05-16 10:36:09.717520,18
28,28,586.35,Credit Card,2025-01-16 10:36:09.717520,18
29,29,731.75,Credit Card,2025-08-08 22:36:09.717520,18
30,30,93.36,Bank Transfer,2025-02-21 06:36:09.717520,18
31,31,441.62,PayPal,2025-02-09 01:36:09.717520,18
32,32,481.65,Bank Transfer,2025-03-10 17:36:09.717520,18
33,33,343.56,Bank Transfer,2025-07-22 07:36:09.717520,18
34,34,517.65,Bank Transfer,2025-06-07 07:36:09.717520,18
35,35,778.3,Crypto,2024-12-16 04:36:09.717520,17
36,36,346.23,Crypto,2025-03-04 00:36:09.717520,20
37,37,362.89,PayPal,2025-02-24 13:36:09.717520,18
38,38,291.99,PayPal,2024-12-16 21:36:09.717520,18
39,39,297.91,Credit Card,2025-03-21 03:36:09.717520,18
40,40,613.71,Bank Transfer,2025-10-31 08:36:09.717520,18
41,41,241.07,Credit Card,2025-02-08 19:36:09.717520,18
42,42,442.83,Crypto,2025-04-10 14:36:09.717520,18
43,43,268.38,Bank Transfer,2025-11-29 15:36:09.717520,18
44,44,241.52,Crypto,2025-05-29 05:36:09.717520,18
45,45,101.53,Bank Transfer,2025-11-12 15:36:09.717520,18
46,46,157.79,Crypto,2025-01-23 04:36:09.717520,18
47,47,62.74,Crypto,2025-10-28 08:36:09.717520,18
48,48,389.48,Bank Transfer,2025-01-28 00:36:09.717520,18
49,49,657.42,PayPal,2025-05-16 00:36:09.717520,18
50,50,95.57,Credit Card,2025-02-15 16:36:09.717520,18
51,51,455.42,Credit Card,2025-10-06 15:36:09.717520,21
52,52,209.44,PayPal,2024-12-16 02:36:09.717520,18
53,53,667.75,Credit Card,2025-07-05 05:36:09.717520,18
54,54,680.52,Crypto,2025-11-28 19:36:09.717520,18
55,55,207.31,PayPal,2025-12-01 11:36:09.717520,18
56,56,288.33,PayPal,2025-11-10 06:36:09.717520,18
57,57,274.37,Credit Card,2025-11-05 01:36:09.717520,18
58,58,423.7,Credit Card,2025-02-06 22:36:09.717520,18
59,59,716.2,PayPal,2025-03-06 21:36:09.717520,18
60,60,543.4,Bank Transfer,2025-06-01 18:36:09.717520,18
61,61,160.35,Credit Card,2025-05-21 20:36:09.717520,18
62,62,299.09,Bank Transfer,2025-01-30 02:36:09.717520,18
63,63,683.29,Crypto,2025-10-13 19:36:09.717520,18
64,64,548.74,Crypto,2025-01-31 10:36:09.717520,18
65,65,507.25,Credit Card,2024-12-30 11:36:09.717520,18
66,66,603.36,Crypto,2025-06-28 06:36:09.717520,18
67,67,425.65,Credit Card,2025-05-12 21:36:09.717520,18
68,68,572.25,Credit Card,2025-05-22 16:36:09.717520,18
69,69,535.03,Crypto,2024-12-30 11:36:09.717520,19
70,70,591.93,PayPal,2025-02-26 21:36:09.717520,18
71,71,364.99,Bank Transfer,2025-01-15 14:36:09.717520,18
72,72,686.98,Crypto,2025-07-10 08:36:09.717520,18
73,73,186.34,Crypto,2025-03-14 05:36:09.717520,18
74,74,786.29,Credit Card,2025-05-14 10:36:09.717520,18
75,75,271.18,Crypto,2025-04-07 03:36:09.717520,18
76,76,360.74,Credit Card,2025-02-05 06:36:09.717520,18
77,77,226.67,PayPal,2025-02-25 13:36:09.717520,18
78,78,139.29,PayPal,2025-04-29 17:36:09.717520,20
79,79,712.93,PayPal,2025-05-24 11:36:09.717520,18
80,80,581.32,PayPal,2025-08-10 01:36:09.717520,18
81,81,91.72,Crypto,2025-06-26 14:36:09.717520,18
82,82,577.45,Bank Transfer,2024-12-13 14:36:09.717520,18
83,83,285.47,Bank Transfer,2025-12-02 23:36:09.717520,18
84,84,682.24,Crypto,2025-10-26 02:36:09.717520,18
85,85,290.3,PayPal,2024-12-25 17:36:09.717520,18
86,86,432.45,Bank Transfer,2025-11-21 13:36:09.717520,18
87,87,670.08,Bank Transfer,2025-09-08 12:36:09.717520,18
88,88,358.27,PayPal,2025-11-22 14:36:09.717520,18
89,89,348.95,Crypto,2025-11-04 21:36:09.717520,18
90,90,185.31,Crypto,2025-10-08 11:36:09.717520,17
91,91,603.67,Crypto,2025-10-14 07:36:09.717520,18
92,92,746.3,Crypto,2025-03-13 13:36:09.717520,18
93,93,685.5,Credit Card,2025-08-25 13:36:09.717520,18
94,94,55.28,PayPal,2025-02-20 18:36:09.717520,18
95,95,85.31,Bank Transfer,2025-08-04 10:36:09.717520,18
96,96,340.72,Crypto,2025-01-16 14:36:09.717520,18
97,97,546.01,Credit Card,2025-01-16 21:36:09.717520,18
98,98,83.18,Credit Card,2025-04-11 15:36:09.717520,22
99,99,696.69,PayPal,2025-07-27 19:36:09.717520,18
100,100,567.89,Credit Card,2024-12-20 23:36:09.717520,18
101,101,624.46,Credit Card,2025-01-29 17:36:09.717520,18
102,102,296.95,Credit Card,2025-02-09 21:36:09.717520,18
103,103,318.11,Crypto,2025-07-15 15:36:09.717520,17
104,104,437.43,Crypto,2025-05-26 02:36:09.717520,18
105,105,128.5,Crypto,2025-07-23 02:36:09.717520,18
106,106,538.55,PayPal,2025-07-04 23:36:09.717520,18
107,107,688.12,Bank Transfer,2025-02-07 01:36:09.717520,18
108,108,520.84,Credit Card,2025-07-05 04:36:09.717520,18
109,109,607.74,Crypto,2025-07-13 00:36:09.717520,21
110,110,453.3,Credit Card,2024-12-15 07:36:09.717520,18
111,111,317.87,Crypto,2025-08-07 05:36:09.717520,18
112,112,68.55,PayPal,2025-01-02 03:36:09.717520,18
113,113,765.33,Crypto,2025-11-13 13:36:09.717520,18
114,114,409.82,Bank Transfer,2025-09-16 15:36:09.717520,18
115,115,486.72,Credit Card,2025-08-25 08:36:09.717520,17
116,116,546.91,Bank Transfer,2025-11-06 14:36:09.717520,18
117,117,583.0,Credit Card,2025-11-13 21:36:09.717520,18
118,118,741.32,Bank Transfer,2025-10-10 08:36:09.717520,18
119,119,181.29,Crypto,2025-07-30 18:36:09.717520,20
120,120,520.12,Bank Transfer,2025-08-09 20:36:09.717520,18
121,121,67.97,Crypto,2025-08-19 17:36:09.717520,18
122,122,684.92,Crypto,2025-04-02 08:36:09.717520,18
123,123,458.58,Credit Card,2025-01-17 16:36:09.717520,18
124,124,368.52,Bank Transfer,2025-11-01 15:36:09.717520,18
125,125,107.69,Credit Card,2025-09-12 08:36:09.717520,18
126,126,534.15,Bank Transfer,2025-10-08 14:36:09.717520,18
127,127,678.33,Credit Card,2025-03-16 07:36:09.717520,18
128,128,662.97,Crypto,2024-12-28 17:36:09.717520,18
129,129,601.96,Crypto,2025-10-15 09:36:09.717520,18
130,130,266.46,Crypto,2025-07-20 03:36:09.717520,18
131,131,368.56,Crypto,2025-05-24 05:36:09.717520,18
132,132,580.31,Crypto,2025-08-25 02:36:09.717520,18
133,133,389.31,Bank Transfer,2025-02-24 10:36:09.717520,20
134,134,376.63,Bank Transfer,2025-04-12 17:36:09.717520,18
135,135,736.45,Bank Transfer,2025-06-22 10:36:09.717520,18
136,136,150.23,Credit Card,2025-05-23 02:36:09.717520,18
137,137,104.28,PayPal,2025-10-21 19:36:09.717520,18
138,138,718.33,Credit Card,2025-11-05 12:36:09.717520,18
139,139,698.18,Credit Card,2025-08-14 03:36:09.717520,18
140,140,257.06,Crypto,2025-07-11 20:36:09.717520,18
141,141,208.47,Bank Transfer,2025-03-01 13:36:09.717520,18
142,142,375.71,Crypto,2025-06-18 11:36:09.717520,18
143,143,462.19,Bank Transfer,2025-06-17 03:36:09.717520,18
144,144,99.86,Bank Transfer,2025-06-24 09:36:09.717520,18
145,145,720.22,PayPal,2025-02-08 13:36:09.717520,18
146,146,414.48,Bank Transfer,2025-11-27 03:36:09.717520,18
147,147,505.89,Bank Transfer,2025-03-21 16:36:09.717520,18
148,148,779.6,Bank Transfer,2025-05-27 10:36:09.717520,21
149,149,744.02,Bank Transfer,2025-09-05 00:36:09.717520,18
150,150,185.43,Credit Card,2025-06-01 01:36:09.717520,18
151,151,616.27,PayPal,2025-11-07 22:36:09.717520,18
152,152,598.41,Bank Transfer,2025-07-05 09:36:09.717520,18
153,153,161.61,Bank Transfer,2025-02-15 05:36:09.717520,18
154,154,492.23,PayPal,2025-02-23 08:36:09.717520,18
155,155,267.13,PayPal,2025-01-04 03:36:09.717520,18
156,156,537.97,Credit Card,2025-09-04 20:36:09.717520,18
157,157,426.54,Crypto,2025-10-13 20:36:09.717520,18
158,158,114.33,Credit Card,2025-10-30 06:36:09.717520,22
159,159,237.63,Crypto,2025-11-24 11:36:09.717520,21
160,160,758.97,PayPal,2025-06-14 16:36:09.717520,18
161,161,122.99,Credit Card,2025-09-09 16:36:09.717520,18
162,162,275.89,Credit Card,2025-10-15 11:36:09.717520,18
163,163,157.09,Credit Card,2025-09-30 16:36:09.717520,18
164,164,329.22,PayPal,2025-03-11 09:36:09.717520,21
165,165,74.93,Crypto,2025-03-01 14:36:09.717520,18
166,166,705.71,Crypto,2025-07-07 19:36:09.717520,18
167,167,556.46,Bank Transfer,2025-09-26 15:36:09.717520,18
168,168,641.2,Crypto,2025-02-19 00:36:09.717520,22
169,169,286.28,Credit Card,2024-12-29 09:36:09.717520,20
170,170,64.32,Credit Card,2025-09-22 09:36:09.717520,18
171,171,146.54,Bank Transfer,2025-03-24 03:36:09.717520,18
172,172,701.8,Bank Transfer,2025-07-01 10:36:09.717520,18
173,173,333.34,PayPal,2025-03-24 20:36:09.717520,18
174,174,135.4,Credit Card,2025-05-01 00:36:09.717520,21
